iter	Passed	Remaining
0	1	329
1	3	301
2	6	421
3	8	392
4	10	375
5	12	368
6	14	366
7	15	352
8	18	365
9	19	357
10	21	353
11	23	343
12	24	334
13	26	326
14	27	324
15	30	333
16	32	331
17	34	325
18	35	319
19	37	314
20	38	308
21	40	305
22	41	300
23	45	315
24	47	312
25	49	308
26	50	303
27	52	299
28	53	295
29	54	291
30	60	309
31	62	305
32	63	301
33	65	296
34	66	292
35	67	288
36	71	291
37	72	287
38	75	289
39	76	285
40	78	282
41	79	278
42	82	279
43	84	278
44	86	275
45	87	272
46	89	271
47	91	268
48	92	264
49	95	265
50	97	263
51	98	260
52	100	257
53	101	254
54	103	252
55	105	249
56	107	250
57	109	247
58	111	245
59	112	242
60	114	239
61	115	236
62	117	234
63	118	232
64	122	232
65	123	230
66	125	228
67	126	225
68	128	223
69	129	220
70	131	218
71	134	217
72	137	219
73	139	216
74	140	213
75	142	211
76	143	208
77	146	208
78	148	206
79	150	204
80	151	202
81	153	200
82	154	197
83	156	195
84	159	194
85	160	192
86	162	190
87	164	188
88	165	186
89	167	183
90	168	181
91	169	179
92	171	177
93	173	175
94	174	173
95	176	170
96	178	169
97	179	166
98	181	164
99	184	164
100	186	162
101	187	160
102	189	157
103	190	155
104	192	154
105	194	152
106	196	150
107	198	148
108	199	146
109	201	144
110	202	142
111	204	140
112	205	138
113	206	136
114	209	134
115	210	132
116	212	130
117	213	128
118	215	126
119	216	124
120	217	122
121	221	121
122	223	119
123	225	117
124	226	115
125	227	113
126	229	112
127	231	110
128	234	109
129	236	107
130	238	105
131	239	103
132	240	101
133	242	99
134	243	97
135	246	96
136	248	94
137	250	92
138	252	90
139	253	88
140	255	86
141	256	85
142	259	83
143	261	81
144	262	79
145	264	77
146	266	76
147	268	74
148	269	72
149	272	70
150	274	68
151	275	67
152	277	65
153	278	63
154	280	61
155	281	59
156	285	58
157	287	56
158	288	54
159	290	52
160	291	50
161	292	48
162	294	46
163	297	45
164	299	43
165	301	41
166	302	39
167	304	38
168	305	36
169	307	34
170	310	32
171	312	30
172	313	29
173	315	27
174	316	25
175	318	23
176	319	21
177	322	19
178	324	18
179	326	16
180	328	14
181	329	12
182	330	10
183	332	9
184	333	7
185	335	5
186	337	3
187	338	1
188	340	0
